sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
AuthBrows2:Login,10,10716,3795,15411,4721.170363373895,0.0,0.6201165819174004,13.009730985675306,21483.0
AuthBrows3:Login,10,10586,4040,15344,4868.279705399023,0.0,0.6154603643525357,13.10798348258247,21809.0
AuthBrows1:Login,10,9752,4631,15325,4850.357563108105,0.0,0.6187735907431471,13.144708905698904,21753.0
AuthBrows2:/users/illmasterc,20,949,124,2740,872.6074074290225,0.5,1.1063782707307628,25.29219623001604,23409.0
AuthBrows1:/users/rfay,20,847,124,2402,621.6502714549393,0.5,1.2682308180088777,24.24067156785035,19572.5
AuthBrows3:/users/randyfay,110,1035,13,3516,544.7494521519363,0.09090909090909091,2.4002793052282447,72.72117516856507,31024.090909090908
AuthBrows3:/user/35037,100,651,286,1084,172.31885416285698,0.0,2.319109461966605,67.34702936572357,29737.0
AuthBrows1:/frontpage,10,1049,581,1936,353.6793604382366,0.0,0.8175946365791841,23.742980183549996,29737.0
AuthBrows2:/user/35038,10,2061,467,3310,835.7330973462757,0.0,0.7482229704451926,14.657571081182192,20060.0
AuthBrows1:/users/randyfay,10,1332,797,1875,278.30278475071026,0.0,0.7940919558484874,25.288416679901534,32610.0
AuthBrows2:/user/35036,10,1345,436,1626,329.1781432598465,0.0,0.7569449701006736,16.087298226856408,21763.0
AuthBrows1:Logout,10,743,322,1150,272.879991937848,0.0,0.8723719794120213,25.225521787490187,29610.0
AuthBrows2:Logout,10,641,332,882,132.65161137355253,0.0,0.8016032064128257,23.179170841683366,29610.0
AuthBrows3:/user/35038,100,1303,307,7832,1379.4864796365348,0.0,2.3386342376052385,61.84134559167447,27078.0
AuthBrows3:/,100,639,267,1190,197.2593143554951,0.0,2.588192665061987,75.16121609467609,29737.0
AuthBrows3:Logout,10,189,71,303,76.79485659860299,0.0,2.6034886748242645,75.28251920072897,29610.0
TOTAL,550,1442,13,15411,2536.0889790970505,0.05454545454545454,10.99274478843963,302.68948275388243,28196.236363636363
